order_id,product_id,product_name,category,quantity,price,order_date,customer_id,customer_name
5651,104,Product D,Category 2,3,40.0,2023-10-13,1811,Ryan Webb
2628,104,Product D,Category 2,11,40.0,2023-10-11,1399,Eric Smith
2999,104,Product D,Category 2,5,40.0,2023-04-16,1768,Thomas Cole
9173,104,Product D,Category 2,7,40.0,2023-06-06,1639,James Macdonald
7923,101,Product A,Category 1,13,10.0,2023-01-20,1136,Gina Hall
4182,101,Product A,Category 1,4,10.0,2023-10-06,1129,Mary Ray
520,104,Product D,Category 2,4,40.0,2023-09-07,1622,Jessica Richmond
3382,102,Product B,Category 1,9,20.0,2023-03-07,1736,Emily George
7816,103,Product C,Category 2,15,30.0,2023-11-09,1484,Jeffrey Bennett
2258,101,Product A,Category 1,13,10.0,2023-03-02,1100,Sarah Evans
3957,101,Product A,Category 1,9,10.0,2023-09-17,1539,Charles Dixon
2222,101,Product A,Category 1,1,10.0,2023-02-05,1065,Dr. Amber Flores
7551,101,Product A,Category 1,15,10.0,2023-01-06,1338,Anthony Patton
9635,102,Product B,Category 1,11,20.0,2023-02-03,1375,Grace Lopez
3380,102,Product B,Category 1,8,20.0,2023-05-13,1831,Jenny Perez
881,103,Product C,Category 2,12,30.0,2023-08-28,1892,Elizabeth Mercado
8169,101,Product A,Category 1,13,10.0,2023-09-14,1143,Albert Perkins
7845,102,Product B,Category 1,11,20.0,2023-08-07,1639,James Macdonald
2272,103,Product C,Category 2,13,30.0,2023-07-05,1054,Crystal Chang
1454,101,Product A,Category 1,4,10.0,2023-06-05,1599,Sean Carter
9045,102,Product B,Category 1,14,20.0,2023-12-20,1532,Meagan Contreras
4973,103,Product C,Category 2,8,30.0,2023-12-07,1011,Thomas Escobar
8286,103,Product C,Category 2,7,30.0,2023-03-16,1170,Deborah Wilson
1938,101,Product A,Category 1,2,10.0,2023-03-15,1045,Jason Williams
2384,104,Product D,Category 2,14,40.0,2023-03-02,1181,Tammy Flores
5626,103,Product C,Category 2,2,30.0,2023-07-12,1892,Elizabeth Mercado
7213,102,Product B,Category 1,9,20.0,2023-10-12,1385,Mrs. Brandi Shaw
3808,104,Product D,Category 2,7,40.0,2023-11-12,1899,Daniel Smith
2696,102,Product B,Category 1,4,20.0,2023-09-22,1300,Barbara Peterson
1674,101,Product A,Category 1,14,10.0,2023-10-03,1441,Kimberly Harris
2794,102,Product B,Category 1,13,20.0,2023-01-15,1620,Barbara Hamilton
2737,102,Product B,Category 1,5,20.0,2023-12-20,1208,Lisa Smith
4989,103,Product C,Category 2,6,30.0,2023-05-09,1552,Megan Crawford
3821,104,Product D,Category 2,3,40.0,2023-10-19,1722,Cody Carroll
4186,102,Product B,Category 1,11,20.0,2023-01-12,1223,Briana Clark
176,101,Product A,Category 1,14,10.0,2023-03-06,1241,Stephanie Ramos
6030,102,Product B,Category 1,4,20.0,2023-06-12,1398,Katherine Parker
3784,104,Product D,Category 2,1,40.0,2023-04-17,1629,Alexander Ramirez
7077,101,Product A,Category 1,5,10.0,2023-08-11,1480,Kimberly Johnson
4389,103,Product C,Category 2,1,30.0,2023-06-21,1329,Kristen Skinner
8839,102,Product B,Category 1,11,20.0,2023-10-05,1686,Anthony Perez
1760,103,Product C,Category 2,2,30.0,2023-12-20,1569,Timothy Perkins
4514,102,Product B,Category 1,3,20.0,2023-03-05,1372,Ashley Campbell
9487,103,Product C,Category 2,15,30.0,2023-11-06,1763,Shawn Graham
7401,102,Product B,Category 1,15,20.0,2023-05-24,1450,Eric Oconnor
1895,102,Product B,Category 1,10,20.0,2023-06-21,1805,Joshua Lozano
8463,102,Product B,Category 1,8,20.0,2023-01-25,1651,Natalie Moreno
2160,101,Product A,Category 1,9,10.0,2023-03-29,1872,David Krueger
942,102,Product B,Category 1,1,20.0,2023-01-25,1816,Maureen Olson
1988,102,Product B,Category 1,7,20.0,2023-06-28,1881,Alicia Parrish
842,102,Product B,Category 1,10,20.0,2023-12-17,1223,Briana Clark
3357,102,Product B,Category 1,10,20.0,2023-02-08,1436,Mary Howard
1967,102,Product B,Category 1,10,20.0,2023-11-06,1858,James Smith
4659,102,Product B,Category 1,12,20.0,2023-06-15,1505,Melissa Myers
1313,104,Product D,Category 2,3,40.0,2023-01-11,1084,Andrea Hayes
1762,101,Product A,Category 1,13,10.0,2023-06-10,1714,Cole Mcdowell
5704,102,Product B,Category 1,2,20.0,2023-07-22,1885,Dustin Anderson
3110,104,Product D,Category 2,15,40.0,2023-12-04,1928,Marissa Mendoza
8101,102,Product B,Category 1,5,20.0,2023-10-07,1929,Matthew Scott
1763,101,Product A,Category 1,4,10.0,2023-02-16,1694,Kyle Tapia
8078,101,Product A,Category 1,6,10.0,2023-02-08,1629,Alexander Ramirez
2748,103,Product C,Category 2,6,30.0,2023-06-22,1082,Donna Smith
5093,102,Product B,Category 1,3,20.0,2023-01-15,1830,Oscar Palmer
3280,101,Product A,Category 1,4,10.0,2023-10-21,1667,Matthew Delacruz
1972,104,Product D,Category 2,5,40.0,2023-05-01,1079,Emily Sherman
1707,102,Product B,Category 1,11,20.0,2023-08-10,1850,Sylvia Miles
2108,102,Product B,Category 1,5,20.0,2023-07-11,1204,Keith Knight
4270,104,Product D,Category 2,9,40.0,2023-07-10,1730,Jasmine Espinoza
3435,102,Product B,Category 1,3,20.0,2023-09-15,1324,Tammy Clark
9848,101,Product A,Category 1,5,10.0,2023-10-21,1352,Monica Liu
3007,103,Product C,Category 2,4,30.0,2023-04-06,1680,Angela Jenkins
3591,101,Product A,Category 1,2,10.0,2023-02-07,1857,Jessica Oconnor
935,101,Product A,Category 1,4,10.0,2023-10-31,1659,Diana Taylor
4617,102,Product B,Category 1,11,20.0,2023-08-03,1584,Richard Madden
4731,103,Product C,Category 2,3,30.0,2023-03-18,1487,Allen Montes
9633,102,Product B,Category 1,1,20.0,2023-02-09,1551,Robin Russo
19,101,Product A,Category 1,3,10.0,2023-11-15,1187,Bob Franklin
4841,102,Product B,Category 1,7,20.0,2023-06-04,1124,Carrie Crawford
9767,101,Product A,Category 1,6,10.0,2023-07-09,1771,Rhonda Garrett
6912,101,Product A,Category 1,7,10.0,2023-10-16,1461,Julie Jensen
9509,102,Product B,Category 1,11,20.0,2023-11-11,1196,Steven Simon
5466,103,Product C,Category 2,4,30.0,2023-02-11,1081,Dana Kennedy
1003,101,Product A,Category 1,5,10.0,2023-07-22,1456,Laura Vance
6878,102,Product B,Category 1,1,20.0,2023-01-13,1199,Michael Romero
5966,101,Product A,Category 1,12,10.0,2023-09-18,1584,Richard Madden
388,102,Product B,Category 1,6,20.0,2023-07-17,1242,Lisa Choi
1708,102,Product B,Category 1,13,20.0,2023-02-15,1446,Suzanne Flores MD
9490,101,Product A,Category 1,12,10.0,2023-06-18,1867,Aaron Stone
830,103,Product C,Category 2,11,30.0,2023-08-24,1812,Andrew Miller
4427,102,Product B,Category 1,7,20.0,2023-01-29,1217,Jessica Harper
6518,102,Product B,Category 1,6,20.0,2023-03-15,1141,Brenda Gonzalez
3842,101,Product A,Category 1,6,10.0,2023-02-17,1364,Andrew Gibson
4375,104,Product D,Category 2,15,40.0,2023-05-12,1139,Katherine Evans
104,104,Product D,Category 2,8,40.0,2023-06-09,1153,Paul George
3433,104,Product D,Category 2,12,40.0,2023-02-08,1646,Tyler Nunez
5471,104,Product D,Category 2,7,40.0,2023-12-18,1489,Renee Hines
1632,102,Product B,Category 1,1,20.0,2023-12-22,1058,Thomas Johnson
2877,104,Product D,Category 2,9,40.0,2023-07-13,1150,Terri Smith
6630,101,Product A,Category 1,5,10.0,2023-06-24,1711,Erica Mills
6411,102,Product B,Category 1,9,20.0,2023-07-21,1624,Yvette Jackson
5314,104,Product D,Category 2,5,40.0,2023-06-23,1444,Zachary Young
815,103,Product C,Category 2,8,30.0,2023-12-16,1034,Sarah Thomas
3072,101,Product A,Category 1,4,10.0,2023-12-20,1222,Justin Berry
645,104,Product D,Category 2,4,40.0,2023-03-15,1958,Joseph Irwin
7680,101,Product A,Category 1,13,10.0,2023-02-20,1266,John Banks
4043,103,Product C,Category 2,6,30.0,2023-02-21,1704,David Sanders
107,102,Product B,Category 1,7,20.0,2023-09-22,1049,Alexander Wilson
9221,101,Product A,Category 1,1,10.0,2023-09-21,1309,Paula Cook
7344,102,Product B,Category 1,4,20.0,2023-11-23,1013,Michael Garcia
9393,102,Product B,Category 1,7,20.0,2023-09-12,1393,Debra Bennett
608,101,Product A,Category 1,4,10.0,2023-02-06,1052,Eric Parker
8632,101,Product A,Category 1,15,10.0,2023-04-01,1259,Daniel Mcmillan
6243,101,Product A,Category 1,1,10.0,2023-11-26,1760,Elizabeth Wright
7346,101,Product A,Category 1,14,10.0,2023-03-27,1999,Diane Steele
4029,102,Product B,Category 1,8,20.0,2023-08-01,1498,Angela Guerrero
8490,102,Product B,Category 1,7,20.0,2023-02-01,1669,Tyrone Allen
9391,103,Product C,Category 2,4,30.0,2023-10-26,1029,William Blackburn
4021,101,Product A,Category 1,6,10.0,2023-08-30,1506,Summer Stevens
4317,101,Product A,Category 1,5,10.0,2023-03-04,1562,Lisa Thompson
9846,103,Product C,Category 2,1,30.0,2023-07-09,1310,Regina Turner
9209,102,Product B,Category 1,4,20.0,2023-02-05,1858,James Smith
5754,102,Product B,Category 1,4,20.0,2023-06-12,1185,Crystal Dalton
1998,101,Product A,Category 1,14,10.0,2023-01-22,1902,Michelle Walters
8505,102,Product B,Category 1,7,20.0,2023-09-07,1538,Margaret Garcia
3943,101,Product A,Category 1,8,10.0,2023-10-26,1192,Alicia Reynolds
4200,101,Product A,Category 1,6,10.0,2023-02-23,1730,Jasmine Espinoza
2858,101,Product A,Category 1,14,10.0,2023-06-17,1750,Steve Hamilton
2798,101,Product A,Category 1,5,10.0,2023-09-24,1189,Alyssa Delacruz
9653,101,Product A,Category 1,15,10.0,2023-06-07,1997,Kimberly Banks
5218,102,Product B,Category 1,10,20.0,2023-03-05,1928,Marissa Mendoza
8427,103,Product C,Category 2,11,30.0,2023-02-06,1436,Mary Howard
8352,103,Product C,Category 2,11,30.0,2023-10-15,1562,Lisa Thompson
8944,101,Product A,Category 1,1,10.0,2023-08-23,1542,Christy Lynch
5378,102,Product B,Category 1,11,20.0,2023-05-20,1645,Scott Shaffer
